Stock,UPC,Name,Price,Wattage,Form Factor,Modular,ATX Connector,ATX 12V Connector,Graphics Connector,Molex Connector,Sata Connector,Rating,Power Supply Depth
0,840006604839,"Corsair RMx Series RM850x 850 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$150,850 Watts,ATX,Fully-Modular,24-pin,3 x 4+4-pin,4 x 6+2-pin,4,8,80 PLUS Gold Certified,6.30 in. (160.02 mm)
0,843368071370,"EVGA SuperNOVA 1000 GT 80 Plus Gold 1000W Fully Modular Power Supply
",$185,1000 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,8 x 6+2-pin,4,12,80 PLUS Gold Certified,5.01 in. (150.00 mm)
0,840006628873,"Corsair RM850 850 Watt 80 Plus Gold ATX Fully Modular Power Supply - White
",$140,850 Watts,ATX,Fully-Modular,20+4-pin,3 x 4+4-pin,4 x 6+2-pin,4,14,80 PLUS Gold Certified,5.91 in. (150.00 mm)
0,840006603559,"Corsair RMx Series RM1000x 1000 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$190,1000 Watts,ATX,Fully-Modular,24-pin,3 x 4+4-pin,8 x 6+2-pin,4,11,80 PLUS Gold Certified,7.09 in. (180.00 mm)
0,843368068080,"EVGA SuperNOVA 850 GT 850 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$160,850 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,6 x 6+2-pin,3,9,80 PLUS Gold Certified,5.91 in. (150.00 mm)
0,840006651901,"Corsair RM850e 850 Watt 80 Plus Gold Fully Modular Low-Noise ATX Power Supply
",$140,850 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,3 x 6+2-pin,4,7,80 PLUS Gold Certified,5.91 in. (150.00 mm)
0,824142293058,"MSI MPG A850G PCIE5 850 Watt 80 Plus Gold ATX Fully Modular Power Supply
",$160,850 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,"6 x 6+2-pin, 1 x 16-pin",4,8,80 PLUS Gold Certified,5.91 in. (150.00 mm)
0,618996998074,"PowerSpec 750 Watt 80 Plus Bronze ATX Semi-Modular Power Supply Active PFC SLI Crossfire Ready Gaming PC Computer Switching PSU
",$85,750 Watts,ATX,Semi-Modular,20+4-pin,1 x 4+4-pin,4 x 6+2-pin,4,6,80 PLUS Bronze Certified,5.91 in. (150.00 mm)
0,195553236225,"ASUS ROG Thor Platinum II 1000 Watt 80 Plus Platinum ATX Fully Modular Power Supply
",$310,1000 Watts,ATX,Fully-Modular,20+4-pin,2 x 4+4-pin,"8 x 6+2-pin, 1 x 12-pin",6,12,80 PLUS Platinum Certified,7.48 in. (190.00 mm)
0,841163062234,"Thermaltake Smart Series 500 Watt 80 Plus ATX Non-Modular Power Supply
",$42,500 Watts,ATX,Non-Modular,20+4-pin,1 x 4+4-pin,2 x 6+2-pin,3,6,80 PLUS Certified,5.50 in. (139.70 mm)
0,840353040816,"Lian Li SP750 750 Watt 80 Plus Gold SFX Fully Modular Power Supply
",$130,750 Watts,SFX,Fully-Modular,20+4-pin,2 x 4+4-pin,3 x 6+2-pin,4,4,80 PLUS Gold Certified,3.94 in. (100.00 mm)
