0,UPC,Name,Price,Compatible Intel Socket/Slot,Compatible AMD Socket/Slot,Heat Pipes,Cooling Fan,Fan Speed,Fan Airflow,Fan Maximum Air Pressure,Fan Noise Level,Heatsink Height
0,6933412727316,Deep Cool AK620 CPU Air Cooler,$60,"LGA 1150, 1151, 1155, 1200, 1700, 2011, 2011-v3, 2066",AM4,6,2 x 120mm Fans,"500 - 1,850 RPM",68.99 CFM,2.19 mmH2O,< 28 dBA,6.18 in. (157.00 mm)
0,884102095771,Cooler Master Hyper 212 Black Edition CPU Air Cooler,$55,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",4,120mm Fan,"800 RPM to 2,000 RPM",42 CFM,2.90 mmH2O,,6.26 in. (159.00 mm)
0,884102095788,Cooler Master Hyper 212 RGB Black Edition CPU Air Cooler,$60,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",4,,"650 RPM to 2,000 RPM",59 CFM,2.10 mmH2O,8 dBA to 30 dBA,6.26 in. (159.00 mm)
0,884102095795,Hyper 212 EVO V2 CPU Air Cooler,$40,"775, 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4",4,,"650 RPM to 1,800 RPM",62 CFM,2.50 mmH2O,27dBA,6.06 in. (154.00 mm)
0,6933412727347,Deep Cool AS500 Plus CPU Air Cooler - White,$60,"LGA 1150, 1151, 1155, 1200, 1700, 2011, 2011-v3, 2066","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4",5,140mm Fan,"500 - 1,200 RPM",70.81 CFM,1.14 mmH2O,,6.47 in. (164.00 mm)
0,810074840248,NZXT T120 RGB CPU Air Cooler - Black,$60,"LGA 1150, 1151, 1155, 1156, 1200, 1700","AM4, AM5",4,,"500 - 1,800 RPM",13.94 CFM to 50.18 CFM,2.70 mmH2O,17.2 dBA to 27.5 dBA,6.26 in. (159.00 mm)
0,810074840255,NZXT T120 RGB CPU Air Cooler - White,$60,"LGA 1150, 1151, 1155, 1156, 1200, 1700","AM4, AM5",4,,"500 - 1,800 RPM",13.94 CFM to 50.18 CFM,2.70 mmH2O,17.2 dBA to 27.5 dBA,6.26 in. (159.00 mm)
0,6933412726845,"Deep Cool GAMMAXX GT BK, CPU Air Cooler, SYNC RGB Fan and RGB Black Top Cover, Cable or Motherboard Control Supported, 4 Heatpipes, 120mm RGB Fan",$40,"LGA 1150, 1151, 1155, 1156, 1366, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",4,120mm Fan,"500 - 1,600 RPM",56.5 CFM,,27 dBA,6.14 in. (156.00 mm)
0,6933412726890,"Deep Cool GAMMAXX400V2 Blue CPU Air Cooler with 4 Heatpipes, 120mm PWM Fan and Blue LED for Intel/AMD CPUs",$30,"LGA 1150, 1151, 1155, 1156, 1200, 1366","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",4,,,64.5 CFM,,27.8 dBA,6.10 in. (155.00 mm)
0,884102083839,Cooler Master MasterAir MA612 Stealth ARGB CPU Air Cooler,$110,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066",,6,2 x 120mm Fans,"650 RPM to 1,800 RPM",62 CFM,2.25 mmH2O,8 dBA to 27 dBA,6.22 in. (158.00 mm)
0,6933412727453,Deep Cool AK620 High-Performance CPU Cooler,$60,"LGA 1150, 1151, 1155, 1200, 1700, 2011, 2011-v3, 2066","AM4, AM5",6,2 x 120mm Fans,"500 - 1,850 RPM",68.99 CFM,2.19 mmH2O,< 28 dBA,6.30 in. (160.00 mm)
0,4260052186268,be quiet DARK ROCK PRO 4 CPU Cooler,$110,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",7,135mm Fan,"1,450 RPM",50.5 CFM,45.47 mmH2O,24.3 dBA,6.42 in. (163.00 mm)
0,4260052185391,be quiet SHADOW ROCK TF2 Topflow CPU Cooler,,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",5,135mm Fan,,,,,4.41 in. (112.00 mm)
0,841163071618,Thermaltake UX200 ARGB Lighting CPU Cooler,$45,"LGA 775, 1150, 1151, 1155, 1156, 1200","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",,120mm Fan,"300 RPM to 1,500 RPM",43.34 CFM,,26.33 dBA,6.04 in. (153.50 mm)
0,4260052186251,be quiet DARK ROCK 4 Black Universal CPU Cooler,$85,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",6,135mm Fan,,,,,6.28 in. (159.51 mm)
0,9010018000177,Noctua NH-U12S chromax.black CPU Cooler,$90,"LGA 1150, 1151, 1155, 1156, 1200, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",6,,"300 RPM to 1,500 RPM",64.97 CFM,,< 22 dBA,6.22 in. (158.00 mm)
0,6933412727446,Deep Cool AK400 Performance CPU Cooler - Black,$30,"LGA 1150, 1151, 1155, 1156, 1200, 1700","AM4, AM5",4,120mm Fan,"500 - 1,850 RPM",66.47 CFM,2.04 mmH2O,,5.98 in. (152.00 mm)
0,6933412727422,Deep Cool AK400 WH Performance CPU Cooler - White,$33,"LGA 1150, 1151, 1155, 1156, 1200, 1700","AM4, AM5",4,120mm Fan,"500 - 1,850 RPM",66.47 CFM,2.04 mmH2O,,5.98 in. (152.00 mm)
0,841163080542,Thermaltake UX200 SE CPU Cooler,$30,"LGA 1150, 1151, 1155, 1156, 1200, 1700","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4",4,120mm Fan,"800 - 1,800 RPM",62.72 CFM,,,6.14 in. (156.00 mm)
0,4260052188453,be quiet PURE ROCK SLIM 2 CPU Cooler,$30,"LGA 1150, 1151, 1155, 1200","AM3, AM3+, AM4",3,92mm Fan,"1,000 RPM to 1,900 RPM",,1.65 mmH2O,25.4 dBA,5.31 in. (135.00 mm)
0,842431012456,Noctua NH-D15 Brown CPU Cooler,$115,"LGA 1150, 1151, 1155, 1156, 1200, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",6,,"1,200 RPM to 1,500 RPM",82.5 CFM,,24.6 dBA,6.50 in. (165.00 mm)
0,4260052187319,be quiet DARK ROCK SLIM CPU Cooler,$75,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",4,120mm Fan,"1,450 RPM",50.5 CFM,45.47 mmH2O,16.4 dBA,6.28 in. (159.51 mm)
0,4260052187852,be quiet Shadow Rock 3 Black CPU Cooler,$70,"LGA 1150, 1151, 1155, 1156, 2011, 2011-v3, 2066","AM3, AM3+, AM4",5,120mm Fan,"450 RPM to 1,100 RPM",,,,6.42 in. (163.00 mm)
0,841163080559,Thermaltake Contac 9 SE 120W TDP CPU Cooler,$20,"LGA 1150, 1151, 1155, 1156, 1200, 1700","FM1, FM2, FM2+, AM2, AM2+, AM3, AM3+, AM4",2,92mm Fan,,33.12 CFM,1.02 mmH2O,24.5 dBA,5.15 in. (130.90 mm)
0,4260052188309,be quiet SHADOW ROCK 3 CPU Cooler - White,$70,"LGA 1150, 1151, 1155, 1200, 2011, 2011-v3, 2066","AM3, AM3+, AM4",5,120mm Fan,"450 RPM to 1,100 RPM",38.5 CFM,0.82 mmH2O,22.4 dBa,6.42 in. (163.00 mm)
0,842431014313,Noctua NH-U14S CPU Cooler,$90,"LGA 1150, 1151, 1155, 1156, 1200, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",6,140mm Fan,"300 RPM to 1,500 RPM",,,19.2 dBA to 24.6 dBA,6.50 in. (165.00 mm)
0,842431014306,Noctua NH-U12S CPU Cooler,$90,"LGA 1150, 1151, 1155, 1156, 1200, 2011, 2011-v3","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",,,"300 RPM to 1,500 RPM",,,22.4 dBA,6.22 in. (158.00 mm)
0,860004195801,IceGiant ProSiphon Elite Intel/AMD CPU Cooler,$170,"LGA 1150, 1151, 1155, 1156, 1200, 1366, 2011, 2066","AM4, TR4, sTRX4",,4 x 120mm Fans,"2,300 RPM",,,32.2 dBA,6.47 in. (164.00 mm)
0,9010018000092,Noctua NH-L9a-AM4 Low Profile CPU Cooler,$57,,AM4,,92mm Fan,"600 RPM to 2,500 RPM",33.84 CFM,,23.6 dBA,1.46 in. (37.00 mm)
0,842431012616,Noctua NH-D15S CPU Cooler,$110,"LGA 1150, 1151, 1155, 1156, 1200, 2011, 2011-v3, 2066","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",6,120mm Fans,"1,500 RPM",82.5 CFM,,24.6 dBA,6.30 in. (160.00 mm)
0,842431014269,Noctua NH-L9i Low Profile CPU Cooler,$50,"LGA 1150, 1151, 1155, 1156, 1200",,,95mm Fan,"600 RPM to 2,500 RPM",33.84 CFM,,23.6 dBA,1.46 in. (37.00 mm)
0,841163071601,Thermaltake UX100 ARGB Universal CPU Cooler,$20,"LGA 775, 1150, 1151, 1155, 1156, 1200","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",,120mm Fan,"1,800 RPM",38.82 CFM,1.48 mmH2O,26.92 dBA,2.60 in. (66.10 mm)
0,841163067536,Thermaltake Contac Silent 12 CPU Cooler,$35,"LGA 775, 1150, 1151, 1155, 1156, 1366","AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+",4,120mm Fan,"500 - 1,500 RPM",74.33 CFM,1.68 mmH2O,28.8 dBA,6.02 in. (153.00 mm)
