Stock,UPC,Name,Price,Max Motherboard Size,Motherboard Support,"Internal 3.5"" Drive Bays","Internal 2.5"" Drive Bays",Supported Radiator Sizes,Installed Radiators,Fan Bays,Included Fans,Power Supply,Power Supply Wattage,Power Supply Mount,Max CPU Heatsink Height,Max Power Supply Depth,Max Video Card Length
0,840353042674,LANCOOL III RGB Tempered Glass ATX Mid-Tower Computer Case - Black,$170,ATX,ATX eATX microATX Mini-ITX,4,8,1 x 360 mm Top Internal 1 x 360mm Front Internal 1 x 420 mm Front Internal 1 x 360 mm Bottom Internal,,1 x Rear 120mm Fan Bay 3 x Top 120mm Fan Bays 1 x Rear 140mm Fan Bay 3 x Front 120mm Fan Bays 3 x Top 140mm Fan Bays 3 x Front 140mm Fan Bays,1 x 140mm Fan 3 x 140mm RGB LED Fans,Not Included,,Bottom (ATX),7.28 in. (185.00 mm),8.70 in. (220.00 mm),16.54 in. (420.00 mm)
0,840353041479,Lian Li Lancool II MESH Type C RGB Tempered Glass ATX Mid-Tower Computer Case - Black,$110,ATX,ATX eATX microATX Mini-ITX,3,6,1 x 240 mm Front Internal 1 x 280mm Front Internal 1 x 240 mm Top Internal 1 x 360 mm Front Internal,,1 x Rear 120mm Fan Bay 2 x Top 120mm Fan Bays 2 x Top 140mm Fan Bays 2 x Front 140mm Fan Bays 3 x Front 120mm Fan Bays,,Not Included,,Bottom (ATX),6.93 in. (176.00 mm),8.27 in. (210.00 mm),15.12 in. (384.00 mm)
0,810074842419,Fractal Design Meshify C Tempered Glass ATX Mid-Tower Computer Case - Black,$95,ATX,ATX microATX Mini-ITX,1,2,1 x 280 mm Front Internal 1 x 120mm Rear Internal 1 x 240 mm Top Internal,,2 x Front 120mm Fan Bays 1 x Rear 120mm Fan Bay 2 x Top 120mm Fan Bays 1 x Bottom 120mm Fan Bay 2 x Front 140mm Fan Bays,2 x 120mm Fans,Not Included,,Bottom (ATX),6.50 in. (165.00 mm),7.28 in. (185.00 mm),14.37 in. (365.00 mm)
0,840353040403,Lian Li Lancool 215 Tempered Glass eATX Full Tower Computer Case - Black,$100,eATX,ATX eATX microATX Mini-ITX,2,2,1 x 280 mm Front Internal 1 x 240mm Top Internal 1 x 280 mm Top Internal 1 x 360 mm Front Internal,,2 x Top 120mm Fan Bays 2 x Top 140mm Fan Bays 2 x Front 140mm Fan Bays 3 x Front 120mm Fan Bays 2 x Front 200mm Fan Bays,1 x 120mm Fan 2 x 200mm RGB Fans,Not Included,,Bottom (ATX),6.54 in. (166.00 mm),8.27 in. (210.00 mm),14.57 in. (370.00 mm)
0,840353042681,Lian Li LANCOOL III RGB Tempered Glass ATX Mid-Tower Computer Case - White,$180,ATX,ATX eATX microATX Mini-ITX,4,8,1 x 360 mm Top Internal 1 x 360mm Front Internal 1 x 420 mm Front Internal 1 x 360 mm Bottom Internal,,1 x Rear 120mm Fan Bay 3 x Top 120mm Fan Bays 1 x Rear 140mm Fan Bay 3 x Front 120mm Fan Bays 3 x Top 140mm Fan Bays 3 x Front 140mm Fan Bays,1 x 140mm Fan 3 x 140mm RGB LED Fans,Not Included,,Bottom (ATX),7.28 in. (185.00 mm),8.70 in. (220.00 mm),8.70 in. (220.00 mm)
0,840353042032,Lian Li O11 Dynamic EVO Tempered Glass ATX Mid-Tower Computer Case - Black,$200,ATX,ATX eATX microATX Mini-ITX,5,3,1 x 280 mm Top Internal 1 x 360mm Top Internal 1 x 360 mm Bottom Internal 1 x 280 mm Side Internal 1 x 360 mm Side Internal,,1 x Rear 120mm Fan Bay 2 x Top 140mm Fan Bays 3 x Top 120mm Fan Bays 2 x Bottom 140mm Fan Bays 3 x Side 120mm Fan Bays 3 x Bottom 120mm Fan Bays 2 x Side 140mm Fan Bays,,Not Included,,Bottom (ATX),6.57 in. (167.00 mm),8.66 in. (220.00 mm),16.61 in. (422.00 mm)
0,848604042879,HYTE Y60 Modern Aesthetic Dual Chamber Panoramic Tempered Glass Mid-Tower ATX Computer Gaming Case - White - PCIe 4.0 Riser Cable Included,$200,ATX,ATX eATX microATX Mini-ITX,2,4,1 x 120 mm Rear Internal 1 x 240mm Top Internal 1 x 120 mm Top Internal 1 x 360 mm Top Internal 1 x 120 mm Side Internal 1 x 140 mm Side Internal 1 x 240 mm Side Internal 1 x 280 mm Side Internal,,1 x Rear 120mm Fan Bay 2 x Side 120mm Fan Bays 2 x Bottom 120mm Fan Bays 3 x Top 120mm Fan Bays 2 x Bottom 140mm Fan Bays 2 x Side 140mm Fan Bays,3 x 120mm Fans,Not Included,,Bottom (ATX),6.30 in. (160.00 mm),9.25 in. (235.00 mm),14.76 in. (375.00 mm)
0,840353042049,Lian Li O11 Dynamic EVO Tempered Glass ATX Mid-Tower Computer Case - White,$210,ATX,ATX eATX microATX Mini-ITX,6,3,1 x 280 mm Top Internal 1 x 360mm Top Internal 1 x 360 mm Bottom Internal 1 x 280 mm Side Internal 1 x 360 mm Side Internal,,1 x Rear 120mm Fan Bay 2 x Top 140mm Fan Bays 3 x Top 120mm Fan Bays 2 x Bottom 140mm Fan Bays 3 x Side 120mm Fan Bays 3 x Bottom 120mm Fan Bays 2 x Side 140mm Fan Bays,,Not Included,,Bottom (ATX),6.57 in. (167.00 mm),8.66 in. (220.00 mm),16.61 in. (422.00 mm)
0,840353041745,Lian Li Lancool II MESH Performance Type C Tempered Glass ATX Mid-Tower Computer Case - Black,$110,ATX,ATX eATX microATX Mini-ITX,3,4,1 x 240 mm Front Internal 1 x 280mm Front Internal 1 x 240 mm Top Internal 1 x 360 mm Front Internal,,2 x Top 120mm Fan Bays 2 x Top 140mm Fan Bays 2 x Front 140mm Fan Bays 3 x Front 120mm Fan Bays,2 x 140mm Fans,Not Included,,Bottom (ATX),6.93 in. (176.00 mm),8.27 in. (210.00 mm),15.12 in. (384.00 mm)
0,840353041486,Lian Li Lancool II MESH Type C RGB Tempered Glass ATX Mid-Tower Computer Case - Snow White,$120,ATX,ATX eATX microATX Mini-ITX,3,4,1 x 240 mm Front Internal 1 x 280mm Front Internal 1 x 240 mm Top Internal 1 x 360 mm Front Internal,,2 x Top 120mm Fan Bays 2 x Top 140mm Fan Bays 2 x Front 140mm Fan Bays 3 x Front 120mm Fan Bays,2 x 140mm Fans,Not Included,,Bottom (ATX),6.93 in. (176.00 mm),8.27 in. (210.00 mm),15.12 in. (384.00 mm)
