Stock,UPC,Name,Price,GPU Manufacturer,GPU Chipset,Boost Core Clock Speed,Video Memory,Power Connector,Recommended Power Supply,Video Card Length,HDMI,DisplayPort
0,810012083447,Zotac NVIDIA GeForce RTX 4070 Ti Trinity Overclocked Triple Fan 12GB GDDR6X PCIe 4.0 Graphics Card,$830,NVIDIA,GeForce RTX 4070 Ti,2625MHz,12 GB,1 x 12-pin,750 Watts,12.10 in. (307.34 mm),"1 x HDMI 2.1a
","3 x DisplayPort 1.4a
"
0,824142306451,MSI NVIDIA GeForce RTX 4070 Ti Gaming Trio Triple Fan 12GB GDDR6X PCIe 4.0 Graphics Card,$890,NVIDIA,GeForce RTX 4070 Ti,2625MHz,12 GB,1 x 16-pin,700 Watts,13.27 in. (337.00 mm),1 x HDMI 2.1,3 x DisplayPort 1.4a
0,197105004375,ASUS NVIDIA GeForce RTX 3070 Ti TUF Gaming V2 Overclocked Triple Fan 8GB GDDR6X PCIe 4.0 Graphics Card,$650,NVIDIA,GeForce RTX 3070 Ti,1815MHz,8 GB,2 x 8-pin,750 Watts,11.81 in. (300.00 mm),1 x HDMI 2.1,"3 x DisplayPort 1.4a
"
0,727419314015,AMD Radeon RX 6950 XT Triple Fan 16GB GDDR6 PCIe 4.0 Graphics Card,$700,AMD,Radeon RX 6950 XT,2310MHz,16GB,2 x 8-pin,850 Watts,10.51 in. (266.95 mm),1 x HDMI 2.1,"2 x DisplayPort 1.4a
"
0,889523035665,Gigabyte NVIDIA GeForce RTX 4070 Ti Aero Overclocked Triple Fan 12GB GDDR6X PCIe 4.0 Graphics Card,$900,NVIDIA,GeForce RTX 4070 Ti,2640MHz,12 GB,1 x 16-pin,750 Watts,13.23 in. (336.00 mm),"1 x HDMI 2.1
","3 x DisplayPort 1.4a
"
0,810012082099,Zotac NVIDIA GeForce RTX 3060 Twin Edge Overclocked Dual-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,$350,NVIDIA,GeForce RTX 3060,1807MHz,12 GB,1 x 8-pin,600 Watts,8.82 in. (224.00 mm),"1 x HDMI 2.1
","3 x DisplayPort 1.4a
"
0,195553951593,ASUS NVIDIA GeForce RTX 4080 Strix Triple Fan 16GB GDDR6X PCIe 4.0 Graphics Card,"$1,500",NVIDIA,GeForce RTX 4080,2535MHz,16 GB,1 x 16-pin,750 Watts,14.08 in. (357.60 mm),"2 x HDMI 2.1a
","3 x DisplayPort 1.4a
"
0,824142306338,MSI NVIDIA GeForce RTX 4080 Suprim X Overclocked Triple Fan 16GB GDDR6X PCIe 4.0 Graphics Card,"$1,400",NVIDIA,GeForce RTX 4080,2625MHz,16GB,1 x 16-pin,850 Watts,13.23 in. (336.00 mm),"1 x HDMI 2.1
","3 x DisplayPort 1.4a
"
0,195553950756,ASUS NVIDIA GeForce RTX 4080 TUF Gaming Triple Fan 16GB GDDR6X PCIe 4.0 Graphics Card,"$1,200",NVIDIA,GeForce RTX 4080,2535MHz,16 GB,1 x 16-pin,750 Watts,13.71 in. (348.20 mm),"2 x HDMI 2.1a
","3 x DisplayPort 1.4a
"
0,195553950732,"ASUS NVIDIA GeForce RTX 4080 TUF Gaming Overclocked Triple Fan 16GB GDDR6X PCIe 4.0 Graphics Card
","$1,400",NVIDIA,GeForce RTX 4080,2625MHz,16 GB,1 x 16-pin,750 Watts,13.71 in. (348.20 mm),"2 x HDMI 2.1a
","3 x DisplayPort 1.4a
"
0,4713436173526,"PowerColor AMD Radeon RX 6600 Fighter Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card
",$230,AMD,Radeon RX 6600,2491MHz,8 GB,1 x 8-pin,500 Watts,7.87 in. (199.90 mm),"1 x HDMI 2.1
","3 x DisplayPort 1.4a
"
0,889523029220,"Gigabyte NVIDIA GeForce RTX 3070 Gaming LHR Overclocked Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card
",$600,NVIDIA,GeForce RTX 3070,1815MHz,8 GB,"1 x 6-pin, 1 x 8-pin",650 Watts,11.26 in. (286.00 mm),"2 x HDMI 2.1
","2 x DisplayPort 1.4a
"
0,4713436174264,"PowerColor AMD Radeon RX 6750 XT Red Devil Overclocked Triple Fan 12GB GDDR6 PCIe 4.0 Graphics Card
",$450,AMD,Radeon RX 6750 XT,2713MHz,12 GB,2 x 8-pin,700 Watts,13.19 in. (335.00 mm),"1 x HDMI 2.1
","3 x DisplayPort 1.4a
"
0,4713436173380,"PowerColor AMD Radeon RX 6700 XT Fighter Dual-Fan 12GB GDDR6 PCIe 4.0 Graphics Card
",$370,AMD,Radeon RX 6700 XT,2581MHz,12 GB,2 x 8-pin,650 Watts,8.98 in. (228.09 mm),"1 x HDMI 2.1
","3 x DisplayPort 1.4a
"
0,810012083416,"Zotac NVIDIA GeForce RTX 4080 Trinity Overclocked Triple Fan 16GB GDDR6X PCIe 4.0 Graphics Card
","$1,250",NVIDIA,GeForce RTX 4080,2505MHz,16 GB,1 x 12-pin,750 Watts,14.00 in. (355.60 mm),"1 x HDMI 2.1
","3 x DisplayPort 1.4a
"
0,195553951579,"ASUS NVIDIA GeForce RTX 4080 ROG Strix Overclocked Triple Fan 16GB GDDR6X PCIe 4.0 Graphics Card
","$1,550",NVIDIA,GeForce RTX 4080,2655MHz,16 GB,1 x 16-pin,750 Watts,14.08 in. (357.60 mm),"1 x HDMI 2.1
","3 x DisplayPort 1.4a
"
0,889523035573,"Gigabyte NVIDIA GeForce RTX 4070 Ti Gaming Overclocked Triple Fan 12GB GDDR6X PCIe 4.0 Graphics Card
",$900,NVIDIA,GeForce RTX 4070 Ti,2640MHz,12 GB,1 x 16-pin,750 Watts,13.23 in. (336.00 mm),"1 x HDMI 2.1
","3 x DisplayPort 1.4a
"
0,824142306345,"MSI NVIDIA GeForce RTX 4080 Gaming X Trio Overclocked Triple Fan 16GB GDDR6X PCIe 4.0 Graphics Card
","$1,325",NVIDIA,GeForce RTX 4080,2595MHz,16 GB,1 x 16-pin,850 Watts,13.27 in. (337.00 mm),"1 x HDMI 2.1a
","3 x DisplayPort 1.4a
"
0,824142290248,"MSI AMD Radeon RX 6650 XT Mech 2X Overclocked Dual Fan 8GB GDDR6 PCIe 4.0 Graphics Card
",$280,AMD,Radeon RX 6650 XT,2669MHz,8 GB,1 x 8-pin,500 Watts,9.25 in. (235.00 mm),"1 x HDMI 2.1
",3 x DisplayPort 1.4a
0,810012083393,Zotac NVIDIA GeForce RTX 4080 AMP Extreme AIRO Triple Fan 16GB GDDR6X PCIe 4.0 Graphics Card,"$1,300",NVIDIA,GeForce RTX 4080,2565MHz,16 GB,3 x 8-pin,750 Watts,14.00 in. (355.60 mm),1 x HDMI 2.1,3 x DisplayPort 1.4a
