Stock,UPC,Name,Price,Memory Type,Pin Configuration,Memory Speed (MHz),Memory Capacity,Memory Profiles,Number of Modules,Voltage,CAS Latency,Memory Latency Timings
0,848354017011,G.Skill Ripjaws V 32GB (2 x 16GB) DDR4-3200 PC4-25600 CL16 Dual Channel Desktop Memory Kit F4-3200C16D-32G - Black,$78,DDR4,288-pin,DDR4-3200,32GB (2 x 16GB),Intel XMP,2,1.35V,16,16-18-18-38
0,840006608547,Corsair Vengeance LPX 32GB (2 x 16GB) DDR4-3200 PC4-25600 CL16 Dual Channel Desktop Memory Kit CMK32GX4M2E3200 - Black,$78,DDR4,288-pin,DDR4-3200,32GB (2 x 16GB),Intel XMP,2,1.35V,16,16-20-20-38
0,840006632085,Corsair VENGEANCE RGB PRO SL 32GB (2 x 16GB) DDR4-3600 PC4-28800 CL18 Dual Channel Desktop Memory Kit CMH32GX4M2D36KW - White,$108,DDR4,288-pin,DDR4-3600,32GB (2 x 16GB),Intel XMP,2,1.35V,18,18-22-22-42
0,848354014973,G.Skill Ripjaws V 16GB (2 x 8GB) DDR4-3200 PC4-25600 CL16 Dual Channel Desktop Memory Kit F4-3200C16D-16GVKB - Black,$48,DDR4,288-pin,DDR4-3200,16GB (2 x 8GB),Intel XMP,2,1.35V,16,16-18-18-38
0,840006650577,Corsair Vengeance RGB RT 32GB (2 x 16GB) DDR4-3600 PC4-28800 CL16 Dual Channel Desktop Memory Kit CMN32GX4M2Z3600 - Black,$115,DDR4,288-pin,DDR4-3600,32GB (2 x 16GB),Intel XMP,2,1.35V,16,16-20-20-38
0,840006632078,Corsair VENGEANCE RGB PRO SL 32GB (2 x 16GB) DDR4-3600 PC4-28800 CL18 Dual Channel Desktop Memory Kit CMH32GX4M2D3600 - Black,$100,DDR4,288-pin,DDR4-3600,32GB (2 x 16GB),Intel XMP,2,1.35V,18,18-22-22-42
0,765441654204,TeamGroup T-FORCE VULCAN Z 32GB (2 x 16GB) DDR4-3200 PC4-25600 CL16 Dual Channel Desktop Memory Kit TLZGD432G3200H - Gray,$73,DDR4,288-pin,DDR4-3200,32GB (2 x 16GB),Intel XMP,2,1.35V,16,16-20-20-40
0,840006613251,Corsair Vengeance RGB Pro 32GB (2 x 16GB) DDR4-3200 PC4-25600 CL16 Dual Channel Desktop Memory Kit CMW32GX4M2E3200C16 - Black,$95,DDR4,288-pin,DDR4-3200,32GB (2 x 16GB),Intel XMP,2,1.35V,16,16-20-20-38
0,765441654198,TeamGroup T-FORCE VULCAN Z 16GB (2 x 8GB) DDR4-3200 PC4-25600 CL16 Dual Channel Desktop Memory Kit TLZGD416G3200H - Gray,$42,DDR4,288-pin,DDR4-3200,16GB (2 x 8GB),Intel XMP,2,1.35V,16,16-20-20-40
0,840006608530,Corsair Vengeance LPX 16GB (2 x 8GB) DDR4-3200 C16 Dual Channel Desktop Memory Kit CMK16GX4M2E3200 - Black,$45,DDR4,288-pin,DDR4-3200,16GB (2 x 8GB),Intel XMP,2,1.35V,16,16-20-20-38
0,848354040729,G.Skill Trident Z5 RGB 32GB (2 x 16GB) DDR5-6000 PC5-48000 CL36 Dual Channel Desktop Memory Kit F5-6000J3636F16GX2-TZ5RK - Black,$165,DDR5,288-pin,DDR5-6000,32GB (2 x 16 GB),Intel XMP,2,1.35V,36,36-36-36-96
0,848354033103,G.Skill Ripjaws V 32GB (2 x 16GB) DDR4-3600 PC4-28800 CL18 Dual Channel Desktop Memory Kit F4-3600C18D-32GVK - Black,$84,DDR4,288-pin,DDR4-3600,32GB (2 x 16GB),Intel XMP,2,1.35V,18,18-22-22-42
