Stock,UPC,Name,Price,Chipset,Socket Type,Memory Type,Memory Speeds Supported,Memory Slots,Max Memory Supported,Maximum Memory Suported Per Slot,SATA Express,SATA 6Gb/s,WiFi Support,PCI Express 4.0 x16,PCI Express 3.0 x16,PCI Express 5.0 x16,Form Factor
0,195553938532,ASUS Z790-E ROG Strix Gaming WiFi Intel LGA 1700 ATX Motherboard,$500,Intel Z790,LGA 1700,DDR5-4800 DDR5-5200 DDR5-5400 DDR5-5600 DDR5-5000,7200(OC)/7000(OC)/6800(OC)/6600(OC)/6400(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600/ 5400/ 5200/ 5000/ 4800,4 x 288-pin DIMM,128GB,32GB,5 x M.2 Socket 3 M Key,4,Onboard WiFi,2,,1,ATX
0,195553931465,ASUS Z790 ROG Maximus Hero Intel LGA 1700 ATX Motherboard,$630,Intel Z790,LGA 1700,DDR5-4800 DDR5-5200 DDR5-5400 DDR5-5600 DDR5-5000,7200(OC)/7000(OC)/6800(OC)/6600(OC)/6400(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600/ 5400/ 5200/ 5000/ 4800MHz,4 x 288-pin DIMM,128GB,32GB,5 x M.2 Socket 3 M Key,6,Onboard WiFi,1,,2,ATX
0,889523033623,Gigabyte B650 AORUS Elite AX AMD AM5 ATX Motherboard,$230,AMD B650,AM5,DDR5-4800 DDR5-5200 DDR5-4400,6600(OC) / 6400(OC) / 6200(OC) / 6000(OC) / 5600(OC) / 5200 / 4800 / 4400 MHz,4 x 288-pin DIMM,128GB,32GB,3 x M.2 Sokcet 3 M Key,4,Onboard WiFi,1,,2,ATX
0,195553905732,ASUS X670E-PLUS TUF GAMING WIFI ATX Motherboard,$330,AMD X670E,AM5,DDR5-4800 DDR5-5200 DDR5-5000,6400+(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200/ 5000/ 4800,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,4,Onboard WiFi,1,,1,ATX
0,195553939324,ASUS Z790-A Prime WiFi Intel LGA 1700 ATX Motherboard,$310,Intel Z790,LGA 1700,DDR5-4800 DDR5-5200 DDR5-5400 DDR5-5600 DDR5-5000,(OC)/7000(OC)/6800(OC)/6600(OC)/6400(OC)/6200(OC)/6000(OC)/5800(OC)/5600/5400/5200/5000/4800,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,4,Onboard WiFi,1,,1,ATX
0,889523034002,Gigabyte Z790 AORUS ELITE AX Intel LGA 1700 ATX Motherboard,$260,Intel Z790,LGA 1700,DDR5-4800 DDR5-4000,7600(O.C.) /7400(O.C.) /7200(O.C.) /7000(O.C.) /6800(O.C.) /6600(O.C.) / 6400(O.C.) / 6200(O.C.) / 6000(O.C.) / 5800(O.C.) / 5600(O.C.) / 5400(O.C.) / 5200(O.C.) / 4800 / 4000,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,6,Onboard WiFi,2,,1,ATX
0,195553891707,ASUS X670E-E ROG Strix Gaming WiFi AMD AM5 ATX Motherboard,$500,AMD X670E,AM5,DDR5-4800 DDR5-5200 DDR5-5000,6400+(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200/ 5000/ 4800,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,4,Onboard WiFi,1,,2,ATX
0,192876388495,ASUS X570 TUF Gaming Plus (WIFI) AMD AM4 ATX Motherboard,$210,AMD X570,AM4,DDR4-2133 DDR4-2400 DDR4-2666,4400(O.C)/3466(O.C.)/3400(O.C.)/3200(O.C.)/3000(O.C.)/2933(O.C.)/2800(O.C.)/2666/2400/2133,4 x 288-pin DIMM,128GB,32GB,2 x M.2 Socket 3 M Key,8,Onboard WiFi,2,,,ATX
0,195553338516,ASUS B550-PLUS TUF Gaming WiFi II AMD AM4 ATX Motherboard,$170,AMD B550,AM4,DDR4-2133 DDR4-2400 DDR4-2666 DDR4-2933 DDR4-3200 DDR4-2800 DDR4-3000,4866(OC)/4800(OC)/4600(OC)/4466(OC)/4400(OC)/4333(OC)/4266(OC)/4200(OC)/4133(OC)/4000(OC)/3866(OC)/3733(OC)/3600(OC)/3466(OC)/3400(OC)/3333(OC)/3200/3000/2933/2800/2666/2400/2133 MHz,4 x 288-pin DIMM,128GB,32GB,2 x M.2 Socket 3 M Key,6,Onboard WiFi,1,2,,ATX
0,889523022986,Gigabyte B550I AORUS Pro AX AMD AM4 Mini-ITX Motherboard,$200,AMD B550,AM4,DDR4-2133 DDR4-2400 DDR4-2667 DDR4-2933 DDR4-3200,4866(O.C.)/4600(O.C.)/4400(O.C.)/4000(O.C.)/3600(O.C.)/3333(O.C.)/3200/2933/2667/2400/2133,2 x 288-pin DIMM,64GB,32GB,2 x M.2 Socket 3 M Key,4,Onboard WiFi,1,,,Mini-ITX
0,824142301395,MSI Z790-A Pro WiFi Intel LGA 1700 ATX Motherboard,$280,Intel Z790,LGA 1700,DDR5-4800 DDR5-5200 DDR5-5400 DDR5-5600 DDR5-5000,7200+(OC)/7000(OC)/6800(OC)/6600(OC)/6400(OC)/6200(OC)/6000(OC)/5800(OC)/5600(JEDEC)/5400(JEDEC)/5200(JEDEC)/5000(JEDEC)/4800(JEDEC) MHz,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,6,V-M.2 Slot,1,1,1,ATX
0,195553941082,ASUS Z790-PLUS TUF Gaming WiFi D4 Intel LGA 1700 ATX Motherboard,$290,Intel Z790,LGA 1700,DDR4-2133 DDR4-2400 DDR4-2666 DDR4-2933 DDR4-3200 DDR4-2800 DDR4-3000,5333(OC)/5133(OC)/5066(OC)/5000(OC)/4800(OC)/4700(OC)/4600(OC)/4500(OC)/4400(OC)/4266(OC)/4133(OC)/4000(OC)/3866(OC)/3733(OC)/3600(OC)/3466(OC)/3400(OC)/3333(OC)/3200/3000/2933/2800/2666/2400/2133,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,4,Onboard WiFi,1,,1,ATX
