Stock,UPC,Name,Price,Capacity,Cache,RPM,Endurance,Read Speed,Write Speed,Interface,Form Factor,Random Read 4K,Random Write 4K
0,887276456430,Samsung 980 Pro SSD 2TB M.2 NVMe Interface PCIe Gen 4x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V8P2T0B/AM),$190,2TB,,,,"Up to 7,000MBps","Up to 5,100MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 1,000,000 IOPS","Up to 1,000,000 IOPS"
0,887276404288,Samsung 980 Pro SSD 1TB M.2 NVMe Interface PCIe Gen 4x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V8P1T0B),$130,1TB,,,600 TBW,"Up to 7,000MBps","Up to 5,000MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 1,000,000 IOPS","Up to 1,000,000 IOPS"
0,718037891408,WD Black SN850X 2TB 112L 3D TLC NAND Flash PCIe Gen 4 x4 NVMe M.2 Internal SSD,$170,2TB,,,,"Up to 7,300MBps","Up to 6,300MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 1,200,000 IOPS","Up to 1,100,000 IOPS"
0,887276303765,Samsung 970 EVO Plus SSD 2TB M.2 NVMe Interface PCIe 3.0 x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V7S2T0B/AM),$160,2TB,,,,"Up to 3,500MBps","Up to 3,300MBps",PCIE Gen 3 x 4,M.2 2280 M Key,,
0,887276303758,Samsung 970 EVO Plus SSD 1TB M.2 NVMe Interface PCIe 3.0 x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V7S1T0B/AM),$100,1TB,,,600 TBW,"Up to 3,500MBps","Up to 3,300MBps",PCIE Gen 3 x 4,M.2 2280 M Key,"Up to 600,000 IOPS","Up to 550,000 IOPS"
0,887276431963,"Samsung 870 EVO 2TB SSD 3-bit MLC V-NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$150,2TB,,,"1,200 TBW",Up to 560MBps,Up to 530MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 98,000 IOPS","Up to 88,000 IOPS"
0,887276657011,Samsung 990 PRO 2TB Samsung V NAND 3-bit MLC PCIe Gen 4 x4 NVMe M.2 Internal SSD,$290,2TB,,,"1,200 TBW","Up to 7,450MBps","Up to 6,900MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 1,400,000 IOPS","Up to 1,550,000 IOPS"
0,618996742035,Inland Performance Plus 2TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$150,2TB,,,"1,400 TBW","Up to 7,000MBps","Up to 6,850MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 650,000 IOPS","Up to 700,000 IOPS"
0,618996736300,Inland Professional 512GB SSD 3D TLC NAND SATA 3.0 6 GBps 2.5 Inch 7mm Internal Solid State Drive,$25,512GB,,,345 TBW,Up to 520MBps,Up to 450MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 60,000 IOPS","Up to 64,000 IOPS"
0,887276431970,"Samsung 870 EVO 1TB SSD 3-bit MLC V-NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$80,1TB,,,600 TBW,Up to 560MBps,Up to 530MBps,SATA 3.0 6.0GB/s,"2.5""","Upto 98,000 IOPS","Up to 88,000 IOPS"
0,618996750009,Inland Performance Plus 4TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$370,4TB,,,"3,000 TBW","Up to 7,200MBps","Up to 6,300MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 550,000 IOPS","Up to 950,000 IOPS"
0,618996750139,Inland TN436 1TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 2230 Internal SSD - Compatible with Steam Deck,$140,1TB,,,600 TBW,"Up to 3,400MBps","Up to 2,400MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 320,000 IOPS","Up to 500,000 IOPS"
0,618996750283,Inland QN322 2TB SSD NVMe PCIe Gen 3.0 x4 M.2 2280 3D NAND QLC Internal Solid State Drive,$90,2TB,,,400 TBW,"Up to 2,300MBps","Up to 1,800MBps",PCIe Gen 3 x4,M.2 2280 M Key,"Up to 200,000 IOPS","Up to 380,000 IOPS"
0,887276431956,"Samsung 870 EVO 4TB SSD 3-bit MLC V-NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$330,4TB,,,"2,400 TBW",Up to 560MBps,Up to 530MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 98,000 IOPS","Up to 88,000 IOPS"
0,618996742028,Inland Performance 2TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$135,2TB,,,"3,600 TBW","Up to 5,000MBps","Up to 4,300MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 600,000 IOPS","Up to 500,000 IOPS"
0,649528918796,Crucial P3 1TB 3D NAND Flash PCIe Gen 3 x4 NVMe M.2 Internal SSD,$58,1TB,,,,"Up to 3,500MBps","Up to 3,000MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 650,000 IOPS","Up to 700,000 IOPS"
0,618996739332,"Inland Platinum 1TB SSD 3D TLC NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$53,1TB,,,500 TBW,Up to 500MBps,Up to 450MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 40,000 IOPS","Up to 65,000 IOPS"
0,618996750276,Inland QN322 1TB SSD NVMe PCIe Gen 3.0x4 M.2 2280 3D NAND QLC Internal Solid State Drive,$48,1TB,,,200 TBW,"Up to 2,200MBps","Up to 1,600MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 120,000 IOPS","Up to 280,000 IOPS"
0,618996742042,Inland Performance Plus 1TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$85,1TB,,,700 TBW,"Up to 7,000MBps","Up to 5,500MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 350,000 IOPS","Up to 700,000 IOPS"
0,618996750405,Inland Performance Plus 8TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$930,8TB,,,"6,000 TBW","Up to 7,000MBps","Up to 5,800MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 850,000 IOPS","Up to 950,000 IOPS"
0,618996726509,Inland Professional 1TB SSD 3D NAND SATA 3.0 6 GBps 2.5 Inch 7mm Internal Solid State Drive,$60,1TB,,,660 TBW,Up to 500MBps,Up to 470MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 70,000 IOPS","Up to 700,000 IOPS"
0,887276431987,"Samsung 870 EVO 500GB SSD 3-bit MLC V-NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$50,500GB,,,300 TBW,Up to 560MBps,Up to 530MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 98,000 IOPS","Up to 88,000 IOPS"
